"date","SPY","EFA","IJS","EEM","AGG"
"2013-09-17","155.636063","55.894234","94.379318","37.846115","95.16674"
"2013-09-18","157.437439","57.385098","95.499771","39.431774","95.965698"
"2013-09-19","157.173599","57.111622","95.331688","39.222176","95.848976"
"2013-09-20","156.074661","56.696995","95.238327","38.347332","95.848976"
"2013-09-23","155.352417","56.679363","95.341042","38.484028","95.920792"
"2013-09-24","154.98674","56.591152","95.660988","38.155956","96.145218"
"2013-09-25","154.538788","56.652897","95.464333","37.864349","96.279907"
"2013-09-26","155.133026","56.891083","95.932518","38.019264","96.261932"
"2013-09-27","154.419937","56.688183","95.548607","37.572727","96.315796"
"2013-09-30","153.597168","56.282379","95.717155","37.144417","96.235023"
"2013-10-01","154.813034","56.582317","96.653557","37.882568","96.163986"
"2013-10-02","154.666763","56.564678","96.026154","38.028378","96.289841"
"2013-10-03","153.240601","56.194164","94.977417","37.882568","96.361847"
"2013-10-04","154.401627","56.326488","95.586044","38.374676","96.280869"
"2013-10-07","153.06691","55.744259","94.518585","38.0466","96.262871"
"2013-10-08","151.28421","55.311996","93.460472","37.682083","96.217918"
"2013-10-09","151.393875","55.550182","93.563461","37.964584","96.145996"
"2013-10-10","154.657639","56.547031","95.567337","38.857647","96.253899"
"2013-10-11","155.654144","56.846977","97.018715","39.030804","96.289841"
"2013-10-14","156.275818","57.041058","97.430756","39.258625","96.109985"
"2013-10-15","155.142181","56.767582","96.66291","38.875877","96.065063"
"2013-10-16","157.308868","57.191025","97.627396","39.185726","96.478737"
"2013-10-17","158.360184","57.949692","98.49823","39.431774","96.748535"
"2013-10-18","159.42984","58.293736","99.687439","39.468227","96.9104"
"2013-10-21","159.438965","58.38195","99.565704","39.404434","96.82045"
"2013-10-22","160.362335","58.964176","99.89344","39.78717","97.162216"
"2013-10-23","159.594376","58.39077","99.603157","38.857647","97.135208"
"2013-10-24","160.124619","58.796562","99.949608","38.775642","97.099258"
"2013-10-25","160.856018","58.628956","100.071342","38.957897","97.135208"
"2013-10-28","161.111984","58.531918","100.136902","39.185726","97.090256"
"2013-10-29","161.971359","58.655415","100.492737","39.313301","97.207184"
"2013-10-30","161.166824","58.443703","99.593765","39.094593","97.02729"
"2013-10-31","160.709732","58.117294","99.05069","38.693623","97.036308"
"2013-11-01","161.093735","57.834999","98.816582","38.711853","96.802246"
"2013-11-04","161.660507","58.117294","99.91214","38.948788","96.901337"
"2013-11-05","161.148544","57.614456","99.696793","38.16507","96.613045"
"2013-11-06","161.971359","58.117294","99.481415","38.283539","96.76622"
"2013-11-07","159.923508","57.199837","97.852112","37.590954","96.838303"
"2013-11-08","162.081085","57.535065","99.537605","37.508934","96.23468"
"2013-11-11","162.108505","57.658566","99.425232","37.317566","96.180611"
"2013-11-12","161.779373","57.464485","99.415855","37.117081","96.144569"
"2013-11-13","163.077545","57.649746","100.136902","37.180874","96.396858"
"2013-11-14","163.891174","57.914398","100.24926","37.782322","96.694145"
"2013-11-15","164.604309","58.38195","100.473999","38.502254","96.721153"
"2013-11-18","164.028336","58.38195","100.127518","38.848541","96.910355"
"2013-11-19","163.671799","58.231979","99.603157","38.611607","96.649094"
"2013-11-20","163.159836","57.826187","99.50016","38.083054","96.378838"
"2013-11-21","164.476273","58.187862","101.157547","38.0466","96.477898"
"2013-11-22","165.299072","58.35548","101.710007","38.319992","96.613045"
"2013-11-25","165.134521","58.17905","101.60701","37.827888","96.68515"
"2013-11-26","165.180222","58.17905","102.487206","37.955475","96.712158"
"2013-11-27","165.582504","58.32019","103.161415","38.201519","96.75721"
"2013-11-29","165.472778","58.434864","103.264397","38.59338","96.793236"
"2013-12-02","165.043106","58.002617","101.953476","37.782322","96.253738"
"2013-12-03","164.330032","57.596813","101.60701","37.654747","96.370834"
"2013-12-04","164.311707","57.288063","101.279289","37.60918","96.118576"
"2013-12-05","163.589508","56.961651","101.382278","37.390469","95.911354"
"2013-12-06","165.417953","57.667397","102.196938","38.219753","96.073509"
"2013-12-09","165.838455","57.60564","101.831734","38.274429","96.190659"
"2013-12-10","165.244247","57.508598","100.811089","38.292648","96.343842"
"2013-12-11","163.388351","56.970482","99.556328","37.445152","96.190659"
"2013-12-12","162.848984","56.555862","99.752975","37.22644","96.046478"
"2013-12-13","162.830704","56.520569","100.193062","37.317566","96.091537"
"2013-12-16","163.84549","56.926369","101.298004","37.56361","96.163628"
"2013-12-17","163.324341","56.679363","101.138817","37.235554","96.325798"
"2013-12-18","166.112747","57.570698","102.262482","37.976482","96.280762"
"2013-12-19","165.920746","57.570698","101.569565","37.277641","96.118576"
"2013-12-20","166.886108","57.899929","103.226952","37.222469","96.280762"
"2013-12-23","167.777695","58.496094","104.105904","37.498333","96.23571"
